"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"Ion channel"	"fig|Bacteroides_1_1_30.peg.1909,fig|Bacteroides_2_1_22.peg.2073,fig|Bacteroides_2_2_4.peg.1821,fig|Bacteroides_3_1_23.peg.3281,fig|Bacteroides_D1.peg.1620,fig|Bacteroides_D22.peg.1840,fig|Bacteroides_D2.peg.2027,fig|Bacteroides_ovatus_3_8_47FAA.peg.1988,fig|Bacteroides_ovatus_ATCC_8483.peg.1678,fig|Bacteroides_ovatus_CL03T12C18.peg.2086,fig|Bacteroides_ovatus_SD_CC_2a.peg.1659,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3679,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1651,fig|Bacteroides_xylanisolvens_XB1A.peg.1616,fig|Bovatus_CL02T12C04.peg.2138,fig|Bovatus_NLAE-zl-C11.peg.1436,fig|Bovatus_NLAE-zl-C34.peg.1449,fig|Bovatus_NLAE-zl-H304.peg.2175,fig|Bovatus_NLAE-zl-H361.peg.1789,fig|Bovatus_NLAE-zl-H59.peg.2324,fig|Bovatus_NLAE-zl-H73.peg.2325,fig|Bxylanisolvens_CL03T12C04.peg.1478,fig|Bxylanisolvens_NLAE-zl-C182.peg.1716,fig|Bxylanisolvens_NLAE-zl-C29.peg.1570,fig|Bxylanisolvens_NLAE-zl-C339.peg.1714,fig|Bxylanisolvens_NLAE-zl-G310.peg.1733,fig|Bxylanisolvens_NLAE-zl-G421.peg.1740,fig|Bxylanisolvens_NLAE-zl-H194.peg.1595,fig|Bxylanisolvens_NLAE-zl-P352.peg.1529,fig|Bxylanisolvens_NLAE-zl-P393.peg.1714,fig|Bxylanisolvens_NLAE-zl-P727.peg.1269,fig|Bxylanisolvens_NLAE-zl-P732.peg.1572,fig|Bxylanisolvens_NLAE-zl-P736.peg.1984"	"384797-385069"	"1154389-1155207"
"Sensory transduction protein LytR"	"fig|Bacteroides_1_1_30.peg.3448,fig|Bacteroides_2_1_22.peg.3710,fig|Bacteroides_2_2_4.peg.3685,fig|Bacteroides_3_1_23.peg.4353,fig|Bacteroides_D1.peg.2948,fig|Bacteroides_D22.peg.3324,fig|Bacteroides_D2.peg.3890,fig|Bacteroides_ovatus_3_8_47FAA.peg.3579,fig|Bacteroides_ovatus_ATCC_8483.peg.3071,fig|Bacteroides_ovatus_CL03T12C18.peg.3870,fig|Bacteroides_ovatus_SD_CC_2a.peg.3034,fig|Bacteroides_ovatus_SD_CMC_3f.peg.5002,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3313,fig|Bacteroides_xylanisolvens_XB1A.peg.3134,fig|Bovatus_CL02T12C04.peg.4198,fig|Bovatus_NLAE-zl-C11.peg.2783,fig|Bovatus_NLAE-zl-C34.peg.2874,fig|Bovatus_NLAE-zl-H304.peg.3897,fig|Bovatus_NLAE-zl-H361.peg.3395,fig|Bovatus_NLAE-zl-H59.peg.4334,fig|Bovatus_NLAE-zl-H73.peg.4344,fig|Bxylanisolvens_CL03T12C04.peg.3196,fig|Bxylanisolvens_NLAE-zl-C182.peg.3126,fig|Bxylanisolvens_NLAE-zl-C29.peg.2829,fig|Bxylanisolvens_NLAE-zl-C339.peg.3120,fig|Bxylanisolvens_NLAE-zl-G310.peg.3147,fig|Bxylanisolvens_NLAE-zl-G421.peg.3150,fig|Bxylanisolvens_NLAE-zl-H194.peg.2867,fig|Bxylanisolvens_NLAE-zl-P352.peg.2977,fig|Bxylanisolvens_NLAE-zl-P393.peg.3215,fig|Bxylanisolvens_NLAE-zl-P727.peg.2799,fig|Bxylanisolvens_NLAE-zl-P732.peg.3071,fig|Bxylanisolvens_NLAE-zl-P736.peg.3721"	"385070-385341"	"1155208-1156023"
"N-acetylmuramic acid 6-phosphate etherase"	"fig|Bacteroides_1_1_30.peg.3122,fig|Bacteroides_2_1_22.peg.3179,fig|Bacteroides_2_2_4.peg.3238,fig|Bacteroides_3_1_23.peg.3828,fig|Bacteroides_D1.peg.4468,fig|Bacteroides_D22.peg.3026,fig|Bacteroides_D2.peg.3416,fig|Bacteroides_ovatus_3_8_47FAA.peg.3111,fig|Bacteroides_ovatus_ATCC_8483.peg.4724,fig|Bacteroides_ovatus_CL03T12C18.peg.3335,fig|Bacteroides_ovatus_SD_CC_2a.peg.4712,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4709,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2888,fig|Bacteroides_xylanisolvens_XB1A.peg.2867,fig|Bovatus_CL02T12C04.peg.3739,fig|Bovatus_NLAE-zl-C11.peg.2501,fig|Bovatus_NLAE-zl-C34.peg.2593,fig|Bovatus_NLAE-zl-H304.peg.3534,fig|Bovatus_NLAE-zl-H361.peg.3075,fig|Bovatus_NLAE-zl-H59.peg.3814,fig|Bovatus_NLAE-zl-H73.peg.3815,fig|Bxylanisolvens_CL03T12C04.peg.2736,fig|Bxylanisolvens_NLAE-zl-C182.peg.2766,fig|Bxylanisolvens_NLAE-zl-C29.peg.4425,fig|Bxylanisolvens_NLAE-zl-C339.peg.2818,fig|Bxylanisolvens_NLAE-zl-G310.peg.2799,fig|Bxylanisolvens_NLAE-zl-G421.peg.2805,fig|Bxylanisolvens_NLAE-zl-H194.peg.4417,fig|Bxylanisolvens_NLAE-zl-P352.peg.2648,fig|Bxylanisolvens_NLAE-zl-P393.peg.2887,fig|Bxylanisolvens_NLAE-zl-P727.peg.2471,fig|Bxylanisolvens_NLAE-zl-P732.peg.2742,fig|Bxylanisolvens_NLAE-zl-P736.peg.3261"	"385342-385612"	"1156024-1156836"
"Polysaccharide biosynthesis/export protein"	"fig|Bacteroides_1_1_30.peg.1763,fig|Bacteroides_2_1_22.peg.465,fig|Bacteroides_2_2_4.peg.4737,fig|Bacteroides_3_1_23.peg.3163,fig|Bacteroides_D1.peg.1137,fig|Bacteroides_D22.peg.1818,fig|Bacteroides_D2.peg.1403,fig|Bacteroides_ovatus_3_8_47FAA.peg.1857,fig|Bacteroides_ovatus_ATCC_8483.peg.3926,fig|Bacteroides_ovatus_CL03T12C18.peg.1083,fig|Bacteroides_ovatus_SD_CC_2a.peg.1584,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3603,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1577,fig|Bacteroides_xylanisolvens_XB1A.peg.1536,fig|Bovatus_CL02T12C04.peg.1917,fig|Bovatus_NLAE-zl-C11.peg.1325,fig|Bovatus_NLAE-zl-C34.peg.1347,fig|Bovatus_NLAE-zl-H304.peg.2041,fig|Bovatus_NLAE-zl-H361.peg.1675,fig|Bovatus_NLAE-zl-H59.peg.2003,fig|Bovatus_NLAE-zl-H73.peg.2232,fig|Bxylanisolvens_CL03T12C04.peg.4119,fig|Bxylanisolvens_NLAE-zl-C182.peg.1631,fig|Bxylanisolvens_NLAE-zl-C29.peg.1492,fig|Bxylanisolvens_NLAE-zl-C339.peg.1629,fig|Bxylanisolvens_NLAE-zl-G310.peg.1665,fig|Bxylanisolvens_NLAE-zl-G421.peg.1672,fig|Bxylanisolvens_NLAE-zl-H194.peg.1541,fig|Bxylanisolvens_NLAE-zl-P352.peg.1331,fig|Bxylanisolvens_NLAE-zl-P393.peg.1516,fig|Bxylanisolvens_NLAE-zl-P727.peg.1071,fig|Bxylanisolvens_NLAE-zl-P732.peg.1374,fig|Bxylanisolvens_NLAE-zl-P736.peg.1742"	"385613-385883"	"1156837-1157649"
"Purine nucleoside phosphorylase 1"	"fig|Bacteroides_1_1_30.peg.2015,fig|Bacteroides_2_1_22.peg.2178,fig|Bacteroides_2_2_4.peg.4995,fig|Bacteroides_3_1_23.peg.3395,fig|Bacteroides_D1.peg.3295,fig|Bacteroides_D22.peg.1948,fig|Bacteroides_D2.peg.2177,fig|Bacteroides_ovatus_3_8_47FAA.peg.2074,fig|Bacteroides_ovatus_ATCC_8483.peg.991,fig|Bacteroides_ovatus_CL03T12C18.peg.2205,fig|Bacteroides_ovatus_SD_CC_2a.peg.1772,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1119,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1770,fig|Bacteroides_xylanisolvens_XB1A.peg.1720,fig|Bovatus_CL02T12C04.peg.2330,fig|Bovatus_NLAE-zl-C11.peg.1529,fig|Bovatus_NLAE-zl-C34.peg.1542,fig|Bovatus_NLAE-zl-H304.peg.2484,fig|Bovatus_NLAE-zl-H361.peg.2033,fig|Bovatus_NLAE-zl-H59.peg.2443,fig|Bovatus_NLAE-zl-H73.peg.2444,fig|Bxylanisolvens_CL03T12C04.peg.1664,fig|Bxylanisolvens_NLAE-zl-C182.peg.1817,fig|Bxylanisolvens_NLAE-zl-C29.peg.1682,fig|Bxylanisolvens_NLAE-zl-C339.peg.1815,fig|Bxylanisolvens_NLAE-zl-G310.peg.1835,fig|Bxylanisolvens_NLAE-zl-G421.peg.1842,fig|Bxylanisolvens_NLAE-zl-H194.peg.1707,fig|Bxylanisolvens_NLAE-zl-P352.peg.1681,fig|Bxylanisolvens_NLAE-zl-P393.peg.1866,fig|Bxylanisolvens_NLAE-zl-P727.peg.1421,fig|Bxylanisolvens_NLAE-zl-P732.peg.1724,fig|Bxylanisolvens_NLAE-zl-P736.peg.2148"	"385884-386154"	"1157650-1158462"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.578,fig|Bacteroides_2_1_22.peg.1291,fig|Bacteroides_2_2_4.peg.500,fig|Bacteroides_3_1_23.peg.1489,fig|Bacteroides_D1.peg.464,fig|Bacteroides_D22.peg.500,fig|Bacteroides_D2.peg.581,fig|Bacteroides_ovatus_3_8_47FAA.peg.584,fig|Bacteroides_ovatus_ATCC_8483.peg.242,fig|Bacteroides_ovatus_CL03T12C18.peg.231,fig|Bacteroides_ovatus_SD_CC_2a.peg.583,fig|Bacteroides_ovatus_SD_CMC_3f.peg.505,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.562,fig|Bacteroides_xylanisolvens_XB1A.peg.585,fig|Bovatus_CL02T12C04.peg.1350,fig|Bovatus_NLAE-zl-C11.peg.550,fig|Bovatus_NLAE-zl-C34.peg.551,fig|Bovatus_NLAE-zl-H304.peg.815,fig|Bovatus_NLAE-zl-H361.peg.676,fig|Bovatus_NLAE-zl-H59.peg.641,fig|Bovatus_NLAE-zl-H73.peg.509,fig|Bxylanisolvens_CL03T12C04.peg.387,fig|Bxylanisolvens_NLAE-zl-C182.peg.356,fig|Bxylanisolvens_NLAE-zl-C29.peg.379,fig|Bxylanisolvens_NLAE-zl-C339.peg.356,fig|Bxylanisolvens_NLAE-zl-G310.peg.692,fig|Bxylanisolvens_NLAE-zl-G421.peg.691,fig|Bxylanisolvens_NLAE-zl-H194.peg.380,fig|Bxylanisolvens_NLAE-zl-P352.peg.319,fig|Bxylanisolvens_NLAE-zl-P393.peg.318,fig|Bxylanisolvens_NLAE-zl-P727.peg.288,fig|Bxylanisolvens_NLAE-zl-P732.peg.317,fig|Bxylanisolvens_NLAE-zl-P736.peg.395"	"386155-386426"	"1158463-1159278"
"Sugar phosphatase YidA"	"fig|Bacteroides_1_1_30.peg.2872,fig|Bacteroides_2_1_22.peg.2893,fig|Bacteroides_2_2_4.peg.2928,fig|Bacteroides_3_1_23.peg.3535,fig|Bacteroides_D1.peg.2679,fig|Bacteroides_D22.peg.2787,fig|Bacteroides_D2.peg.3127,fig|Bacteroides_ovatus_3_8_47FAA.peg.2869,fig|Bacteroides_ovatus_ATCC_8483.peg.2415,fig|Bacteroides_ovatus_CL03T12C18.peg.3062,fig|Bacteroides_ovatus_SD_CC_2a.peg.2581,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4440,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2595,fig|Bacteroides_xylanisolvens_XB1A.peg.2576,fig|Bovatus_CL02T12C04.peg.3351,fig|Bovatus_NLAE-zl-C11.peg.2255,fig|Bovatus_NLAE-zl-C34.peg.2342,fig|Bovatus_NLAE-zl-H304.peg.3223,fig|Bovatus_NLAE-zl-H361.peg.2777,fig|Bovatus_NLAE-zl-H59.peg.3544,fig|Bovatus_NLAE-zl-H73.peg.3547,fig|Bxylanisolvens_CL03T12C04.peg.2478,fig|Bxylanisolvens_NLAE-zl-C182.peg.2520,fig|Bxylanisolvens_NLAE-zl-C29.peg.2389,fig|Bxylanisolvens_NLAE-zl-C339.peg.2572,fig|Bxylanisolvens_NLAE-zl-G310.peg.2572,fig|Bxylanisolvens_NLAE-zl-G421.peg.2578,fig|Bxylanisolvens_NLAE-zl-H194.peg.2420,fig|Bxylanisolvens_NLAE-zl-P352.peg.2404,fig|Bxylanisolvens_NLAE-zl-P393.peg.2641,fig|Bxylanisolvens_NLAE-zl-P727.peg.2228,fig|Bxylanisolvens_NLAE-zl-P732.peg.2498,fig|Bxylanisolvens_NLAE-zl-P736.peg.3001"	"386427-386696"	"1159279-1160088"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.2889,fig|Bacteroides_2_1_22.peg.2910,fig|Bacteroides_2_2_4.peg.2946,fig|Bacteroides_3_1_23.peg.3553,fig|Bacteroides_D1.peg.2696,fig|Bacteroides_D22.peg.2804,fig|Bacteroides_D2.peg.3144,fig|Bacteroides_ovatus_3_8_47FAA.peg.2886,fig|Bacteroides_ovatus_ATCC_8483.peg.2433,fig|Bacteroides_ovatus_CL03T12C18.peg.3081,fig|Bacteroides_ovatus_SD_CC_2a.peg.2598,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4459,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2612,fig|Bacteroides_xylanisolvens_XB1A.peg.2594,fig|Bovatus_CL02T12C04.peg.3370,fig|Bovatus_NLAE-zl-C11.peg.2272,fig|Bovatus_NLAE-zl-C34.peg.2359,fig|Bovatus_NLAE-zl-H304.peg.3242,fig|Bovatus_NLAE-zl-H361.peg.2795,fig|Bovatus_NLAE-zl-H59.peg.3563,fig|Bovatus_NLAE-zl-H73.peg.3566,fig|Bxylanisolvens_CL03T12C04.peg.2495,fig|Bxylanisolvens_NLAE-zl-C182.peg.2537,fig|Bxylanisolvens_NLAE-zl-C29.peg.2407,fig|Bxylanisolvens_NLAE-zl-C339.peg.2589,fig|Bxylanisolvens_NLAE-zl-G310.peg.2589,fig|Bxylanisolvens_NLAE-zl-G421.peg.2595,fig|Bxylanisolvens_NLAE-zl-H194.peg.2438,fig|Bxylanisolvens_NLAE-zl-P352.peg.2419,fig|Bxylanisolvens_NLAE-zl-P393.peg.2656,fig|Bxylanisolvens_NLAE-zl-P727.peg.2243,fig|Bxylanisolvens_NLAE-zl-P732.peg.2513,fig|Bxylanisolvens_NLAE-zl-P736.peg.3016"	"386697-386966"	"1160089-1160898"
"LicD family protein"	"fig|Bacteroides_1_1_30.peg.2891,fig|Bacteroides_2_1_22.peg.2912,fig|Bacteroides_2_2_4.peg.2948,fig|Bacteroides_3_1_23.peg.3555,fig|Bacteroides_D1.peg.2698,fig|Bacteroides_D22.peg.2806,fig|Bacteroides_D2.peg.3146,fig|Bacteroides_ovatus_3_8_47FAA.peg.2888,fig|Bacteroides_ovatus_ATCC_8483.peg.2435,fig|Bacteroides_ovatus_CL03T12C18.peg.3083,fig|Bacteroides_ovatus_SD_CC_2a.peg.2600,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4461,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2614,fig|Bacteroides_xylanisolvens_XB1A.peg.2596,fig|Bovatus_CL02T12C04.peg.3372,fig|Bovatus_NLAE-zl-C11.peg.2274,fig|Bovatus_NLAE-zl-C34.peg.2361,fig|Bovatus_NLAE-zl-H304.peg.3244,fig|Bovatus_NLAE-zl-H361.peg.2797,fig|Bovatus_NLAE-zl-H59.peg.3565,fig|Bovatus_NLAE-zl-H73.peg.3568,fig|Bxylanisolvens_CL03T12C04.peg.2497,fig|Bxylanisolvens_NLAE-zl-C182.peg.2539,fig|Bxylanisolvens_NLAE-zl-C29.peg.2409,fig|Bxylanisolvens_NLAE-zl-C339.peg.2591,fig|Bxylanisolvens_NLAE-zl-G310.peg.2591,fig|Bxylanisolvens_NLAE-zl-G421.peg.2597,fig|Bxylanisolvens_NLAE-zl-H194.peg.2440,fig|Bxylanisolvens_NLAE-zl-P352.peg.2421,fig|Bxylanisolvens_NLAE-zl-P393.peg.2658,fig|Bxylanisolvens_NLAE-zl-P727.peg.2245,fig|Bxylanisolvens_NLAE-zl-P732.peg.2515,fig|Bxylanisolvens_NLAE-zl-P736.peg.3018"	"386967-387236"	"1160899-1161708"
"Phosphate-binding protein PstS precursor"	"fig|Bacteroides_1_1_30.peg.4488,fig|Bacteroides_2_1_22.peg.4236,fig|Bacteroides_2_2_4.peg.4875,fig|Bacteroides_3_1_23.peg.5013,fig|Bacteroides_D1.peg.4010,fig|Bacteroides_D22.peg.4391,fig|Bacteroides_D2.peg.4709,fig|Bacteroides_ovatus_3_8_47FAA.peg.4384,fig|Bacteroides_ovatus_ATCC_8483.peg.4033,fig|Bacteroides_ovatus_CL03T12C18.peg.4915,fig|Bacteroides_ovatus_SD_CC_2a.peg.4201,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2293,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4475,fig|Bacteroides_xylanisolvens_XB1A.peg.4186,fig|Bovatus_CL02T12C04.peg.5726,fig|Bovatus_NLAE-zl-C11.peg.3578,fig|Bovatus_NLAE-zl-C34.peg.3667,fig|Bovatus_NLAE-zl-H304.peg.4886,fig|Bovatus_NLAE-zl-H361.peg.4329,fig|Bovatus_NLAE-zl-H59.peg.5248,fig|Bovatus_NLAE-zl-H73.peg.5276,fig|Bxylanisolvens_CL03T12C04.peg.4203,fig|Bxylanisolvens_NLAE-zl-C182.peg.3768,fig|Bxylanisolvens_NLAE-zl-C29.peg.3895,fig|Bxylanisolvens_NLAE-zl-C339.peg.3953,fig|Bxylanisolvens_NLAE-zl-G310.peg.4111,fig|Bxylanisolvens_NLAE-zl-G421.peg.4108,fig|Bxylanisolvens_NLAE-zl-H194.peg.3761,fig|Bxylanisolvens_NLAE-zl-P352.peg.4035,fig|Bxylanisolvens_NLAE-zl-P393.peg.4237,fig|Bxylanisolvens_NLAE-zl-P727.peg.3827,fig|Bxylanisolvens_NLAE-zl-P732.peg.4101,fig|Bxylanisolvens_NLAE-zl-P736.peg.4624"	"387237-387522"	"1161709-1162566"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.1706,fig|Bacteroides_2_1_22.peg.533,fig|Bacteroides_2_2_4.peg.4664,fig|Bacteroides_3_1_23.peg.1871,fig|Bacteroides_D1.peg.1070,fig|Bacteroides_D22.peg.3536,fig|Bacteroides_D2.peg.1332,fig|Bacteroides_ovatus_3_8_47FAA.peg.1794,fig|Bacteroides_ovatus_ATCC_8483.peg.3859,fig|Bacteroides_ovatus_CL03T12C18.peg.4839,fig|Bacteroides_ovatus_SD_CC_2a.peg.1510,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2228,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1508,fig|Bacteroides_xylanisolvens_XB1A.peg.1473,fig|Bovatus_CL02T12C04.peg.5658,fig|Bovatus_NLAE-zl-C11.peg.1286,fig|Bovatus_NLAE-zl-C34.peg.1299,fig|Bovatus_NLAE-zl-H304.peg.4838,fig|Bovatus_NLAE-zl-H361.peg.4291,fig|Bovatus_NLAE-zl-H59.peg.1946,fig|Bovatus_NLAE-zl-H73.peg.2175,fig|Bxylanisolvens_CL03T12C04.peg.4049,fig|Bxylanisolvens_NLAE-zl-C182.peg.1494,fig|Bxylanisolvens_NLAE-zl-C29.peg.1426,fig|Bxylanisolvens_NLAE-zl-C339.peg.1492,fig|Bxylanisolvens_NLAE-zl-G310.peg.1616,fig|Bxylanisolvens_NLAE-zl-G421.peg.1623,fig|Bxylanisolvens_NLAE-zl-H194.peg.1489,fig|Bxylanisolvens_NLAE-zl-P352.peg.3968,fig|Bxylanisolvens_NLAE-zl-P393.peg.4119,fig|Bxylanisolvens_NLAE-zl-P727.peg.3743,fig|Bxylanisolvens_NLAE-zl-P732.peg.4016,fig|Bxylanisolvens_NLAE-zl-P736.peg.1661"	"387523-387792"	"1162567-1163376"
"Rhamnulose-1-phosphate aldolase"	"fig|Bacteroides_1_1_30.peg.5073,fig|Bacteroides_2_1_22.peg.3318,fig|Bacteroides_2_2_4.peg.3369,fig|Bacteroides_3_1_23.peg.3993,fig|Bacteroides_D1.peg.4328,fig|Bacteroides_D22.peg.4954,fig|Bacteroides_D2.peg.3550,fig|Bacteroides_ovatus_3_8_47FAA.peg.3246,fig|Bacteroides_ovatus_ATCC_8483.peg.4865,fig|Bacteroides_ovatus_CL03T12C18.peg.3484,fig|Bacteroides_ovatus_SD_CC_2a.peg.4859,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2865,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3030,fig|Bacteroides_xylanisolvens_XB1A.peg.4690,fig|Bovatus_CL02T12C04.peg.3882,fig|Bovatus_NLAE-zl-C11.peg.4122,fig|Bovatus_NLAE-zl-C34.peg.4210,fig|Bovatus_NLAE-zl-H304.peg.5505,fig|Bovatus_NLAE-zl-H361.peg.4984,fig|Bovatus_NLAE-zl-H59.peg.5823,fig|Bovatus_NLAE-zl-H73.peg.5820,fig|Bxylanisolvens_CL03T12C04.peg.2852,fig|Bxylanisolvens_NLAE-zl-C182.peg.4436,fig|Bxylanisolvens_NLAE-zl-C29.peg.4535,fig|Bxylanisolvens_NLAE-zl-C339.peg.4455,fig|Bxylanisolvens_NLAE-zl-G310.peg.2905,fig|Bxylanisolvens_NLAE-zl-G421.peg.2911,fig|Bxylanisolvens_NLAE-zl-H194.peg.4526,fig|Bxylanisolvens_NLAE-zl-P352.peg.4617,fig|Bxylanisolvens_NLAE-zl-P393.peg.4616,fig|Bxylanisolvens_NLAE-zl-P727.peg.4617,fig|Bxylanisolvens_NLAE-zl-P732.peg.4620,fig|Bxylanisolvens_NLAE-zl-P736.peg.5216"	"387793-388061"	"1163377-1164183"
"Chondroitin synthase"	"fig|Bacteroides_1_1_30.peg.2894,fig|Bacteroides_2_1_22.peg.2915,fig|Bacteroides_2_2_4.peg.2951,fig|Bacteroides_3_1_23.peg.3558,fig|Bacteroides_D1.peg.2701,fig|Bacteroides_D22.peg.2809,fig|Bacteroides_D2.peg.3149,fig|Bacteroides_ovatus_3_8_47FAA.peg.2891,fig|Bacteroides_ovatus_ATCC_8483.peg.2438,fig|Bacteroides_ovatus_CL03T12C18.peg.3086,fig|Bacteroides_ovatus_SD_CC_2a.peg.2603,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4464,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2617,fig|Bacteroides_xylanisolvens_XB1A.peg.2599,fig|Bovatus_CL02T12C04.peg.3375,fig|Bovatus_NLAE-zl-C11.peg.2277,fig|Bovatus_NLAE-zl-C34.peg.2364,fig|Bovatus_NLAE-zl-H304.peg.3247,fig|Bovatus_NLAE-zl-H361.peg.2800,fig|Bovatus_NLAE-zl-H59.peg.3568,fig|Bovatus_NLAE-zl-H73.peg.3571,fig|Bxylanisolvens_CL03T12C04.peg.2500,fig|Bxylanisolvens_NLAE-zl-C182.peg.2542,fig|Bxylanisolvens_NLAE-zl-C29.peg.2412,fig|Bxylanisolvens_NLAE-zl-C339.peg.2594,fig|Bxylanisolvens_NLAE-zl-G310.peg.2594,fig|Bxylanisolvens_NLAE-zl-G421.peg.2600,fig|Bxylanisolvens_NLAE-zl-H194.peg.2443,fig|Bxylanisolvens_NLAE-zl-P352.peg.2424,fig|Bxylanisolvens_NLAE-zl-P393.peg.2661,fig|Bxylanisolvens_NLAE-zl-P727.peg.2248,fig|Bxylanisolvens_NLAE-zl-P732.peg.2518,fig|Bxylanisolvens_NLAE-zl-P736.peg.3021"	"388062-388330"	"1164184-1164990"
"AMP nucleosidase"	"fig|Bacteroides_1_1_30.peg.485,fig|Bacteroides_2_1_22.peg.1388,fig|Bacteroides_2_2_4.peg.417,fig|Bacteroides_3_1_23.peg.1170,fig|Bacteroides_D1.peg.365,fig|Bacteroides_D22.peg.714,fig|Bacteroides_D2.peg.751,fig|Bacteroides_ovatus_3_8_47FAA.peg.854,fig|Bacteroides_ovatus_ATCC_8483.peg.162,fig|Bacteroides_ovatus_CL03T12C18.peg.150,fig|Bacteroides_ovatus_SD_CC_2a.peg.483,fig|Bacteroides_ovatus_SD_CMC_3f.peg.676,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.459,fig|Bacteroides_xylanisolvens_XB1A.peg.458,fig|Bovatus_CL02T12C04.peg.1269,fig|Bovatus_NLAE-zl-C11.peg.464,fig|Bovatus_NLAE-zl-C34.peg.465,fig|Bovatus_NLAE-zl-H304.peg.678,fig|Bovatus_NLAE-zl-H361.peg.555,fig|Bovatus_NLAE-zl-H59.peg.437,fig|Bovatus_NLAE-zl-H73.peg.601,fig|Bxylanisolvens_CL03T12C04.peg.301,fig|Bxylanisolvens_NLAE-zl-C182.peg.503,fig|Bxylanisolvens_NLAE-zl-C29.peg.535,fig|Bxylanisolvens_NLAE-zl-C339.peg.503,fig|Bxylanisolvens_NLAE-zl-G310.peg.593,fig|Bxylanisolvens_NLAE-zl-G421.peg.592,fig|Bxylanisolvens_NLAE-zl-H194.peg.536,fig|Bxylanisolvens_NLAE-zl-P352.peg.448,fig|Bxylanisolvens_NLAE-zl-P393.peg.447,fig|Bxylanisolvens_NLAE-zl-P727.peg.417,fig|Bxylanisolvens_NLAE-zl-P732.peg.446,fig|Bxylanisolvens_NLAE-zl-P736.peg.558"	"388331-388599"	"1164991-1165797"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.4820,fig|Bacteroides_2_1_22.peg.4431,fig|Bacteroides_2_2_4.peg.5208,fig|Bacteroides_3_1_23.peg.2310,fig|Bacteroides_D1.peg.4206,fig|Bacteroides_D22.peg.4575,fig|Bacteroides_D2.peg.4918,fig|Bacteroides_ovatus_3_8_47FAA.peg.4767,fig|Bacteroides_ovatus_ATCC_8483.peg.4256,fig|Bacteroides_ovatus_CL03T12C18.peg.5189,fig|Bacteroides_ovatus_SD_CC_2a.peg.4373,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2473,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4675,fig|Bacteroides_xylanisolvens_XB1A.peg.4377,fig|Bovatus_CL02T12C04.peg.5925,fig|Bovatus_NLAE-zl-C11.peg.3775,fig|Bovatus_NLAE-zl-C34.peg.3864,fig|Bovatus_NLAE-zl-H304.peg.1929,fig|Bovatus_NLAE-zl-H361.peg.4514,fig|Bovatus_NLAE-zl-H59.peg.5460,fig|Bovatus_NLAE-zl-H73.peg.5483,fig|Bxylanisolvens_CL03T12C04.peg.4403,fig|Bxylanisolvens_NLAE-zl-C182.peg.4131,fig|Bxylanisolvens_NLAE-zl-C29.peg.4197,fig|Bxylanisolvens_NLAE-zl-C339.peg.4143,fig|Bxylanisolvens_NLAE-zl-G310.peg.4301,fig|Bxylanisolvens_NLAE-zl-G421.peg.4299,fig|Bxylanisolvens_NLAE-zl-H194.peg.4065,fig|Bxylanisolvens_NLAE-zl-P352.peg.4235,fig|Bxylanisolvens_NLAE-zl-P393.peg.1239,fig|Bxylanisolvens_NLAE-zl-P727.peg.4026,fig|Bxylanisolvens_NLAE-zl-P732.peg.4301,fig|Bxylanisolvens_NLAE-zl-P736.peg.4865"	"388600-388867"	"1165798-1166601"
